model,comparison,image_key,excluded_stage,reason
surya,run_1_to_run_2,val/4/189/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/189/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/23,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/24,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/25,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/4,run_1,missing run_1 record
